SPBC16H5.08c,SPBC16H5.08c
EIL2,EIL2
ETHYLENE-INSENSITIVE3-like 2,EIL2
T10F18.150,EIL2
T10F18_150,EIL2
yjeO,yjeO
ECK4154,yjeO
JW4119,yjeO
PSEN2,PSEN2
AD3L,PSEN2
AD4,PSEN2
CMD1V,PSEN2
gtf2e1,gtf2e1
tfiiealpha,gtf2e1
AT4G22610,AT4G22610
F7K2.190,AT4G22610
F7K2_190,AT4G22610
SNORD58B,SNORD58B
RNU58B,SNORD58B
U58b,SNORD58B
CORS1,INPP5E
CPD4,INPP5E
JBTS1,INPP5E
MORMS,INPP5E
PPI5PIV,INPP5E
AT1G76830,AT1G76830
F28O16.20,AT1G76830
F28O16_20,AT1G76830
dig-1,dig-1
CG6800,CG6800
AC014407,CG6800
DmelCG6800,CG6800
Fancc,Fancc
Facc,Fancc
CG18593,viaf
DmelCG18593,viaf
anon-WO0134798.17,viaf
anon-WO0134798.18,viaf
CPK20,CPK20
T7F6.8,CPK20
T7F6_8,CPK20
calcium-dependent protein kinase 20,CPK20
CYTH2,CYTH2
ARNO,CYTH2
CTS18,CYTH2
CTS18.1,CYTH2
PSCD2,CYTH2
PSCD2L,CYTH2
SEC7L,CYTH2
Sec7p-L,CYTH2
Sec7p-like,CYTH2
MMGT1,MMGT1
EMC5,EMC5
TMEM32,MMGT1
tat-3,tat-3
CELE_W09D10.2,tat-3
"tRNA:M-i:61D","tRNA:M-i:61D"
AE002584.trna21-MetCAT,"tRNA:M-i:61D"
CR32482,"tRNA:M-i:61D"
DmelCR32482,"tRNA:M-i:61D"
chr3L.trna49-MetCAT,"tRNA:M-i:61D"
"tRNA:M-i","tRNA:M-i:61D"
"tRNA:M-i:61Da","tRNA:M-i:61D"
"tRNA:M-i:61Db","tRNA:M-i:61D"
"tRNA:M3:61Dd","tRNA:M-i:61D"
"tRNA:M3:61De","tRNA:M-i:61D"
"tRNA:M3:61Df","tRNA:M-i:61D"
"tRNA:M3:61Dg","tRNA:M-i:61D"
"tRNA:M:CAT:AE002584-b","tRNA:M-i:61D"
"tRNA:met-i","tRNA:M-i:61D"
"tRNA:met-i:61Da","tRNA:M-i:61D"
"tRNA:met-i:61Db","tRNA:M-i:61D"
"tRNA:met3:61Dd","tRNA:M-i:61D"
"tRNA:met3:61De","tRNA:M-i:61D"
"tRNA:met3:61Df","tRNA:M-i:61D"
"tRNA:met3:61Dg","tRNA:M-i:61D"
tRNA[[i]][Met],"tRNA:M-i:61D"
Camsap2,Camsap2
1600013L13Rik,Camsap2
4930541M15Rik,Camsap2
Camsap1l1,Camsap2
mKIAA1078,Camsap2
PAPP2C,PAPP2C
T16E15.10,PAPP2C
T16E15_10,PAPP2C
phytochrome-associated protein phosphatase type 2C,PAPP2C
rps-11,rps-11
CELE_F40F11.1,rps-11
thiS,thiS
hsp-6,hsp-6
CELE_C37H5.8,hsp-6
mot-2,hsp-6
CLUB,CLUB
AtTRS130,CLUB
F24B18.6,CLUB
F24B18_6,CLUB
C2CD4B,C2CD4B
FAM148B,C2CD4B
NLF2,C2CD4B
srw-75,srw-75
CELE_W06G6.13,srw-75
magu-3,magu-3
CELE_C50F2.8,magu-3
T28A11.17,T28A11.17
CELE_T28A11.17,T28A11.17
CG15764,CG15764
"BcDNA:AT16792",CG15764
DmelCG15764,CG15764
GATA15,GATA15
GATA transcription factor 15,GATA15
RPL26B,RPL26B
L000004462,RPL26B
L26B,RPL26B
L33B,RPL33B
ribosomal 60S subunit protein L26B,RPL26B
FFAR2,FFAR2
FFA2R,FFAR2
GPR43,FFAR2
TRFL4,TRFL4
TRF-like 4,TRFL4
GIS3,GIS3
L000004863,GIS3
FP17780,MVD
MDDase,MVD
MPD,MVD
AT1G64620,AT1G64620
F1N19.19,AT1G64620
F1N19_19,AT1G64620
CG9306,CG9306
DmelCG9306,CG9306
SPAC24C9.08,SPAC24C9.08
setd8a,setd8a
set8a,setd8a
"wu:fj33f02",setd8a
"zgc:153719",setd8a
CG4291,CG4291
DmelCG4291,CG4291
NMNAT1,NMNAT1
LCA9,NMNAT1
PNAT1,NMNAT1
LINC01465,LINC01465
C12orf61,LINC01465
CG6453,CG6453
DmelCG6453,CG6453
Q9VJD1_DROME,CG6453
Apobec1,Apobec1
Cdar1,Apobec1
rpl35,rpl35
RPSAP26,RPSAP26
RPSA_3_227,RPSAP26
fecA,fecA
stet,stet
B-Rho,stet
Brho,stet
CG12083,stet
CG12504,stet
CG33166,stet
DmelCG33166,stet
Rho-2,stet
Rho2,stet
CG34383,CG34383
CG14365,CG34383
CG14366,CG34383
CG9322,CG34383
"Dm_3R:52023",CG34383
DmelCG34383,CG34383
Dmel_CG14365,CG34383
Dmel_CG14366,CG34383
Dmel_CG9322,CG34383
SNORA74A,SNORA74A
RNU19,SNORA74A
Rab32,ltd
2810011A17Rik,Rab32
AU022057,Rab32
FAM133B,FAM133B
VWC2,VWC2
PSST739,VWC2
UNQ739,VWC2
DNA topoisomerase 2,TOP2
L000002320,TOP2
TOR3,TOP2
CNPY2,CNPY2
HP10390,CNPY2
TMEM4,CNPY2
ZSIG9,CNPY2
AT3G17930,AT3G17930
MAL8P1.113,MAL8P1.113
11410,kuz
34Da,kuz
ADAM10,ADAM10
"BG:DS07660.3",kuz
CG7147,kuz
CT22079,kuz
DmelCG7147,kuz
GS11410,kuz
br38,kuz
"l(2)03782",kuz
"l(2)34Da",kuz
"l(2)br38",kuz
"l(2)c00136",kuz
"l(2)k01403",kuz
l34Da,kuz
soy nut,kuz
fadH,fadH
TOS3,TOS3
serine/threonine protein kinase TOS3,TOS3
BPM-L,RANBP9
BPM90,RANBP9
RANBPM,RANBP9
RanBP7,RANBP9
agfg1,agfg1
hrb,agfg1
SPBC27B12.09c,SPBC27B12.09c
BALF5,BALF5
ilf2,ilf2
nf45,ilf2
BRD7,BRD7
BP75,Brd7
CELTIX1,Brd7
NAG4,BRD7
ZC3H10,ZC3H10
ZC3HDC10,ZC3H10
CYCA3;2,CYCA3;2
F8G22.8,CYCA3;2
F8G22_8,CYCA3;2
cyclin-dependent protein kinase 3;2,CYCA3;2
Supt16,Supt16
Cdc68,Supt16
Fact140,Supt16
Spt16,Supt16
Supt16h,Supt16h
yeaS,yeaS
L3mbtl2,L3mbtl2
4732493N06Rik,L3mbtl2
M4mbt,L3mbtl2
trpL,trpL
hmg20b,hmg20b
CG17593,CG17593
DmelCG17593,CG17593
SFXN5,SFXN5
BBG-TCC,SFXN5
ycbJ,ycbJ
mas2,mas2
SPBC23G7.02c,mas2
atoh1a,atoh1a
Atoh1.1,atoh1a
ZATH-1,atoh1a
ath1,ath1
atoh1,atoh1a
zath1,atoh1a
"zgc:136417",atoh1a
EGR4,EGR4
NGFI-C,EGR4
NGFIC,EGR4
PAT133,EGR4
Ca-P60A,Ca-P60A
A4UZU0_DROME,Ca-P60A
ATC1_DROME,Ca-P60A
CG3725,Ca-P60A
Ca-ATPase,Ca-P60A
Ca-P60,Ca-P60A
Ca-p,Ca-P60A
CaP60A,Ca-P60A
Ca[2+]ATPase,Ca-P60A
DmelCG3725,Ca-P60A
Kum,Ca-P60A
SERCA,Ca-P60A
Serca2a,Ca-P60A
dSERCA,Ca-P60A
"l(2)SH0211",Ca-P60A
"l(2)k08308ab",Ca-P60A
"l(2)k09025",Ca-P60A
taf8,taf8
[acyl-carrier-protein] S-malonyltransferase,MCT1
"BcDNA:GM10765",Gen
CG10670,Gen
DmGEN,Gen
DmelCG10670,Gen
mus324,Gen
Abtb1,Abtb1
AI847549,Abtb1
BC003234,Abtb1
CG5626,CG5626
DmelCG5626,CG5626
CG8750,CG8750
DmelCG8750,CG8750
ETV3L,ETV3L
P450R,POR
RDS3,RDS3
AT5G17010,AT5G17010
F2K13.160,AT5G17010
F2K13_160,AT5G17010
MIR9-1,MIR9-1
MIRN9-1,MIR9-1
hsa-mir-9-1,MIR9-1
miRNA9-1,MIR9-1
nuoL,nuoL
AT5G56940,AT5G56940
MHM17.5,AT5G56940
MHM17_5,AT5G56940
snf-3,snf-3
CELE_T13B5.1,snf-3
Gm4462,Gm4462
CAD5,CAD5
ATCAD5,CAD5
CAD-5,CAD5
F10M10.11,CAD5
cinnamyl alcohol dehydrogenase 5,CAD5
ALG14,ALG14
N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14,ALG14
mab-9,mab-9
CELE_T27A1.6,mab-9
Ce-tbx-12,mab-9
tbx-12,mab-9
RD2,RD2
F2G1.11,RD2
F2G1_11,RD2
HAUS3,HAUS3
C4orf15,HAUS3
IT1,HAUS3
F42G9.1,F42G9.1
yeiI,yeiI
exuR,exuR
TTC9,TTC9
TTC9A,TTC9
AT4G10925,AT4G10925
F57H12.6,F57H12.6
LAMB4,LAMB4
PRKAR2B,PRKAR2B
RII-BETA,PRKAR2B
ITSN2,ITSN2
PRO2015,ITSN2
SH3D1B,ITSN2
SH3P18,ITSN2
SWA,ITSN2
SLAMF7,SLAMF7
19A,SLAMF7
CD319,SLAMF7
CRACC,SLAMF7
PYY,PYY
PYY-I,PYY
PYY1,PYY
SLCO1B3,SLCO1B3
HBLRR,SLCO1B1
LST-2,SLCO1B3
LST-3TM13,SLCO1B3
OATP-8,SLCO1B3
OATP1B3,SLCO1B3
OATP8,SLCO1B3
SLC21A8,SLCO1B3
AMOTL2,AMOTL2
LCCP,AMOTL2
AT2G43120,AT2G43120
rps1102,rps1102
rps11-2,rps1102
RPL13A,RPL13A
L000004454,RPL13A
ribosomal 60S subunit protein L13A,RPL13A
mrps-11,mrps-11
CELE_W04D2.5,mrps-11
C9orf40,C9orf40
PBC2,PBC2
20S PROTEASOME BETA SUBUNIT PBC2,PBC2
20S proteasome beta subunit C2,PBC2
T5M16.3,PBC2
T5M16_3,PBC2
ptc1,ptc1
AKIRIN2,AKIRIN2
C6orf166,AKIRIN2
dJ486L4.2,AKIRIN2
KHK,KHK
NAGA,NAGA
D22S674,NAGA
GALB,NAGA
cdd1,cdd1
Spg11,Spg11
6030465E24Rik,Spg11
A330015I11,Spg11
C530005A01Rik,Spg11
TDA3,TDA3
AT1G54410,AT1G54410
MZSDS,IFT140
SRTD9,IFT140
WDTC2,IFT140
c305C8.4,IFT140
c380F5.1,IFT140
gs114,IFT140
lpr-5,lpr-5
CELE_W04G3.2,lpr-5
D1054.5,D1054.5
CELE_D1054.5,D1054.5
FOXE1,FOXE1
FKHL15,FOXE1
FOXE2,FOXE1
HFKH4,FOXE1
HFKL5,FOXE1
TITF2,FOXE1
TTF-2,FOXE1
MTSS1L,MTSS1L
ABBA-1,MTSS1L
RBMS1,RBMS1
C2orf12,RBMS1
IRS4,IRS4
PY160,IRS4
GALNT8,GALNT8
GALNAC-T8,GALNT8
C44B7.5,C44B7.5
ATP2A1,ATP2A1
ATP2A,ATP2A1
AT5G47110,AT5G47110
K14A3.6,AT5G47110
K14A3_6,AT5G47110
EXCESS MICROSPOROCYTES1,EMS1
EXS,EMS1
EXTRA SPOROGENOUS CELLS,EMS1
T28J14.220,EMS1
T28J14_220,EMS1
mxl-3,mxl-3
CELE_F46G10.6,mxl-3
hlh-23,mxl-3
RD3L,RD3L
TDRD9-AS1,RD3L
TDRD9AS1,RD3L
Y73C8B.3,Y73C8B.3
CG16903,CG16903
DmelCG16903,CG16903
"EG:67A9.2",CG16903
anon-WO03040301.211,CG16903
CELE_C12D8.1,CELE_C12D8.1
Slc25a5-ps,Slc25a5-ps
EG667030,Slc25a5-ps
Gm8429,Slc25a5-ps
Atp6v1c1,Atp6v1c1
1700025B18Rik,Atp6v1c1
U13839,Atp6v1c1
kap104,kap104
sfxn-1.5,sfxn-1.5
CELE_T04F8.1,sfxn-1.5
KKQ8,KKQ8
L000004097,KKQ8
putative serine/threonine protein kinase KKQ8,KKQ8
PTGER3,PTGER3
EP3,PTGER3
EP3-I,PTGER3
EP3-II,PTGER3
EP3-III,PTGER3
EP3-IV,PTGER3
EP3e,PTGER3
PGE2-R,PTGER3
ZNF57,ZNF57
ZNF424,ZNF57
UBAP2L,UBAP2L
NICE-4,UBAP2L
AT5G55180,AT5G55180
MCO15.13,AT5G55180
MCO15_13,AT5G55180
F56C3.10,F56C3.10
AT1G21100,AT1G21100
T22I11.7,AT1G21100
T22I11_7,AT1G21100
HCFC1R1,HCFC1R1
MIR769,MIR769
MIRN769,MIR769
hsa-mir-769,MIR769
SPBC3B8.09,SPBC3B8.09
HEH2,HEH2
SOX21,SOX21
SOX25,SOX21
Ddit4l,Ddit4l
1700037B15Rik,Ddit4l
1700108M02Rik,Ddit4l
RTP801L,Ddit4l
Smhs1,Ddit4l
L000003416,BIG1
RBM14,RBM14
COAA,RBM14
SYTIP1,RBM14
TMEM137,RBM14
CG9786,hb
DmelCG9786,hb
Hunchback,hb
R-pbx,hb
Rg-pbx,hb
hbHLH,hb
"l(3)85Ah",hb
yqhD,yqhD
CELE_Y57G11C.15,CELE_Y57G11C.15
DUX1,DUX1
AT5G51280,AT5G51280
MWD22.23,AT5G51280
MWD22_23,AT5G51280
Hhip,Hhip
Hhip1,Hhip
holD,holD
TCEB3B,TCEB3B
ELOA2,TCEB3B
HsT832,TCEB3B
TCEB3L,TCEB3B
ZFP42,ZFP42
ZNF754,ZFP42
CI51,CI51
51 kDa subunit of complex I,CI51
MAH20.9,CI51
MAH20_9,CI51
SPEF2,SPEF2
CT122,SPEF2
KPL2,SPEF2
NRM1,NRM1
S000080164,NRM1
NRAMP4,NRAMP4
ARABIDOPSIS THALIANA NATURAL RESISTANCE ASSOCIATED MACROPHAGE PROTEIN 4,NRAMP4
ATNRAMP4,NRAMP4
K8K14.5,NRAMP4
K8K14_5,NRAMP4
METAL TRANSPORTER NRAMP4,NRAMP4
natural resistance associated macrophage protein 4,NRAMP4
34,mir-34
CR33326,mir-34
CR43033,mir-34
DmelCR43033,mir-34
Dmel_CR33326,mir-34
dme-miR-34,mir-34
Car1,Car1
AW555628,Car1
Ca1,Car1
Car-1,Car1
C50D2.1,C50D2.1
ndhH,ndhH
Tceb1,Tceb1
2610301I15Rik,Tceb1
AA407206,Tceb1
AI987979,Tceb1
AW049146,Tceb1
CCNE2,CCNE2
CYCE2,CCNE2
M03F8.3,M03F8.3
TPS3,TPS3
L000002718,TPS3
coaD,coaD
MMM1,MMM1
ERMES complex subunit MMM1,MMM1
L000001124,MMM1
YME6,MMM1
RPS4A,RPS4A
L000001751,RPS4A
S4A,RPS4A
ribosomal 40S subunit protein S4A,RPS4A
"l(2)tid","l(2)tid"
CG5504,"l(2)tid"
DmelCG5504,"l(2)tid"
TID56,"l(2)tid"
cDNA 10D,"l(2)tid"
"l(2)701","l(2)tid"
"l(2)td","l(2)tid"
"l(2)tud","l(2)tid"
"l(2)tumorous disc","l(2)tid"
"l(2)tumorous imaginal discs","l(2)tid"
tid,"l(2)tid"
SLC36A1,SLC36A1
Dct1,SLC36A1
LYAAT1,SLC36A1
TRAMD3,SLC36A1
TIMELESS,TIMELESS
hTIM,TIMELESS
Hr96,Hr96
CG11783,Hr96
DHR96,Hr96
DmelCG11783,Hr96
NR1J1,Hr96
DOC2B,DOC2B
DOC2BL,DOC2B
CAIII,CA3
Car3,Car3
Med4,Med4
2410046H15Rik,Med4
DRIP36,Med4
HSPC126,Med4
TRAP36,Med4
Vdirp,Med4
Vdrip,Med4
Scamp3,Scamp3
Sc3,Scamp3
TU52,Scamp3
Ticam1,Ticam1
AW046014,Ticam1
AW547018,Ticam1
OCRL,OCRL
LOCR,OCRL
OCRL-1,OCRL
OCRL1,OCRL
RPL6A,RPL6A
L000004165,RPL6A
YL16A,RPL6A
ribosomal 60S subunit protein L6A,RPL6A
Srpk2,Srpk2
AW226533,Srpk2
AW492537,Srpk2
AW547358,Srpk2
Wbp6,Srpk2
mSRPK2,Srpk2
SCD5,SCD5
FTB1,SCD5
L000001805,SCD5
L000001807,SCD5
S000029433,SCD5
SCD7,SCD5
Cyp309a2,Cyp309a2
309a2,Cyp309a2
CG18559,Cyp309a2
DmelCG18559,Cyp309a2
AT4G31490,AT4G31490
F3L17.60,AT4G31490
F3L17_60,AT4G31490
ymjB,ymjB
swc2,swc2
PF10_0372,PF10_0372
rsmH,rsmH
ECK0083,rsmH
JW0080,rsmH
yabC,rsmH
Ubap2,Ubap2
1190005K07Rik,Ubap2
AA408600,Ubap2
AU045235,Ubap2
mKIAA1491,Ubap2
Mbnl2,Mbnl2
1110002M11Rik,Mbnl2
AI047808,Mbnl2
AI837313,Mbnl2
AI849185,Mbnl2
AL118326,Mbnl2
MBLL,MBNL2
R75232,Mbnl2
mKIAA4072,Mbnl2
RCR1,RCR1
tofu-5,tofu-5
CELE_W01A8.5,tofu-5
CG17912,CG17912
"BcDNA:LD27810",CG17912
"Dm_2L:87597",CG17912
DmelCG17912,CG17912
lincRNA.S1359,CG17912
PRDM5,PRDM5
BCS2,PRDM5
F47G4.4,F47G4.4
CELE_F47G4.4,F47G4.4
"Su(H)","Su(H)"
"BG:DS00929.10","Su(H)"
CG3497,"Su(H)"
DmelCG3497,"Su(H)"
"E(H)","Su(H)"
FTZ-F2,ttk
RBJK_DROME,"Su(H)"
RBP-J[[Kappa]],"Su(H)"
RBP-Jkappa,"Su(H)"
SUH,RBPJ
Su_H,"Su(H)"
anon-WO0257455.3,"Su(H)"
br7,"Su(H)"
dRBP-JK,"Su(H)"
dRBP-J[[Kappa]],"Su(H)"
"l(1)br7","Su(H)"
"l(2)35Bh","Su(H)"
"l(2)br7","Su(H)"
"l(2)k07904","Su(H)"
oss,ttk
FEZF2,FEZF2
FEZL,FEZF2
TOF,GATA4
ZFP312,FEZF2
ZNF312,FEZF2
mnmG,mnmG
ECK3734,mnmG
JW3719,mnmG
gidA,gidA
mnmB,mnmG
trmF,mnmG
GstE10,GstE10
CG17522,GstE10
DmGSTE10,GstE10
DmelCG17522,GstE10
Prosbeta3,Prosbeta3
11981,Prosbeta3
Beta-3,Prosbeta3
CG11981,Prosbeta3
DmelCG11981,Prosbeta3
Pros beta3,Prosbeta3
CG2709,CG2709
DmelCG2709,CG2709
"EG:95B7.5",CG2709
nstp-8,nstp-8
CELE_F44C8.7,nstp-8
L000002335,TRK2
RPD2,TRK2
RRT13,RRT13
MAL7P1.37,MAL7P1.37
DHX37,DHX37
DDX37,DHX37
NACA5,NACA5
F9L11.19,NACA5
F9L11_19,NACA5
nascent polypeptide-associated complex subunit alpha-like protein 5,NACA5
TMEM234,TMEM234
AASL548,TMEM234
C1orf91,TMEM234
PRO1105,TMEM234
RP4-622L5,TMEM234
dJ622L5.7,TMEM234
Usp12,Usp12
Ubh1,Usp12
CG3985,Syn
DmelCG3985,Syn
Dsyn-1,Syn
rfaF,rfaF
oca8,oca8
L000003386,UBC12
NEDD8-conjugating protein UBC12,UBC12
AMSH3,AMSH3
associated molecule with the SH3 domain of STAM 3,AMSH3
prominin-like,prominin-like
CG7740,prominin-like
DmelCG7740,prominin-like
bs29e02.y1,prominin-like
DSE1,DSE1
MYBPC2,MYBPC2
MYBPC,MYBPC2
MYBPCF,MYBPC2
stag3l4,stag3l4
stag1,stag1
thiM,thiM
pol4,pol4
AT5G60750,AT5G60750
MUP24.17,AT5G60750
MUP24_17,AT5G60750
unc-61,unc-61
FRMPD1,FRMPD1
FRMD2,FRMPD1
CG17344,CG17344
"BcDNA:AT10305",CG17344
DmelCG17344,CG17344
ST6GALNAC4,ST6GALNAC4
SIAT3-C,ST6GALNAC4
SIAT3C,ST6GALNAC4
SIAT7-D,ST6GALNAC4
SIAT7D,ST6GALNAC4
ST6GALNACIV,ST6GALNAC4
ST6GalNAc,ST6GALNAC4
STAG3L1P,STAG3L1
TUBBP5,TUBBP5
SSSCA1,SSSCA1
SPAC607.08c,SPAC607.08c
HGTX,HGTX
CG13475,HGTX
CG4745,HGTX
DmelCG13475,HGTX
Nk6,HGTX
Nkx6,HGTX
dNkx6,HGTX
Prlr,Prlr
AI987712,Prlr
Pr-1,Prlr
Pr-3,Prlr
Prlr-rs1,Prlr
Pcid2,Pcid2
A730042J05Rik,Pcid2
MESR4,MESR4
CG4903,MESR4
DmelCG4903,MESR4
"EP(2)0988",MESR4
EP0386,MESR4
EP0988,MESR4
EP988,MESR4
MSR4,MESR4
Pcsk4,Pcsk4
AI647044,Pcsk4
L21221,Pcsk4
NEC 3,Pcsk4
NEC3,Pcsk4
SPC5,PCSK4
UFO1,UFO1
SCF ubiquitin ligase complex subunit UFO1,UFO1
san1,san1
SPBC2A9.04c,san1
LINC1,LINC1
F1N21.5,LINC1
LITTLE NUCLEI1,LINC1
ydgG,ydgG
Osmr,Osmr
Lmf2,Lmf2
AI451006,Lmf2
Tmem112b,Lmf2
Tmem153,Lmf2
AT2G14290,AT2G14290
T1O16.12,AT2G14290
T1O16_12,AT2G14290
ZNF534,ZNF534
KRBO3,ZNF534
AT2G39130,AT2G39130
T7F6.1,AT2G39130
TMEM126A,TMEM126A
OPA7,TMEM126A
Gzmd,Gzmd
Ctla-5,Gzmd
Ctla5,Gzmd
Ap4b1,Ap4b1
1810038H16Rik,Ap4b1
AV004952,Ap4b1
Ap4b4,Ap4b1
sdhC,sdhC
Tor2a,Tor2a
Prosalusin,Tor2a
PDCD4,PDCD4
H731,PDCD4
Fas2,Fas2
1D4,Fas2
Ab 1D4,Fas2
CG3665,Fas2
CT12301,Fas2
DmelCG3665,Fas2
"EG:EG0007.3",Fas2
FAS 11,Fas2
FAS II,Fas2
FASII,Fas2
Fas 2,Fas2
Fas-II,Fas2
FascII,Fas2
MAB1D4,Fas2
"anon-EST:Liang-1.60",Fas2
clone 1.60,Fas2
"l(1)G0032",Fas2
"l(1)G0048",Fas2
"l(1)G0081",Fas2
"l(1)G0293",Fas2
"l(1)G0336",Fas2
mAb 1D4,Fas2
prk-1,prk-1
yhjJ,yhjJ
RNF20,RNF20
BRE1A,RNF20
hBRE1,RNF20
YHR182W,YHR182W
ckr-2,ckr-2
PF14_0014,PF14_0014
HEG1,HEG1
HEG,HEG1
MST112,HEG1
MSTP112,HEG1
ATOPY,MS4A2
FCER1B,MS4A2
FCERI,MS4A2
unc-22,unc-22
YCR090C,YCR090C
CKMT1B,CKMT1B
CKMT,CKMT1B
UMTCK,CKMT1B
Mks1,Mks1
AK190930,Mks1
B8d3,Mks1
Ccbl2,Ccbl2
Kat3,Ccbl2
AT3G49660,AT3G49660
yhfU,yhfU
Tspyl4,Tspyl4
AT4G22660,AT4G22660
T12H17.50,AT4G22660
K09C6.2,K09C6.2
CLU,CLU
APO-J,CLU
APOJ,CLU
CLU2,CLU
KUB1,CLU
NA1/NA2,CLU
SGP-2,CLU
TRPM-2,CLU
gpa-12,gpa-12
CELE_F18G5.3,gpa-12
vps72,vps72
Mrpl22,Mrpl22
E030011D16Rik,Mrpl22
HSPC158,Mrpl22
MRP-L25,Mrpl22
Rpml25,Mrpl22
MTF2,MTF2
L000001212,MTF2
NAM1,MTF2
ght2,ght2
Invadolysin,Invadolysin
CG3953,Invadolysin
DmIX-14,Invadolysin
DmelCG3953,Invadolysin
IX-14,Invadolysin
"l(3)IX-14",Invadolysin
"l(3)SG34",Invadolysin
SYNC,SYNC
SYNCOILIN,SYNC
BCL9L,BCL9L
CG15917,Gbp
DmelCG15917,Gbp
AT1G51560,AT1G51560
F5D21.3,AT1G51560
F5D21_3,AT1G51560
F33C8.2,F33C8.2
melR,melR
AT5G63130,AT5G63130
MDC12.9,AT5G63130
MDC12_9,AT5G63130
ychN,ychN
RPS2P46,RPS2P46
RPS2_22_1525,RPS2P46
CrebB,CrebB
CG6103,CrebB
CREB-B,CrebB
CREB2,ATF2
CREB2a,CrebB
CREB2b,CrebB
Creb B 17A,CrebB
Creb17A,CrebB
Creb2-b,CrebB
Creb2.b,CrebB
CrebB-17A,CrebB
CrebB-17B,CrebB
CrebB17-A,CrebB
DmelCG6103,CrebB
S162,CrebB
dCREB,CrebB
dCREB-2,CrebB
dCREB-2a,CrebB
dCREB-B,CrebB
dCREB2,CrebB
dCREB2-a,CrebB
dCREB2-b,CrebB
dCREB2a,CrebB
dCREB2b,CrebB
dCbz,CrebB
dCrebB2,CrebB
"l(1)17Af",CrebB
KRE27,EMC5
CRYZ,CRYZ
C17orf62,C17orf62
RNF103-CHMP3,RNF103-CHMP3
RNF103-VPS24,RNF103-CHMP3
cutl-23,cutl-23
CELE_Y37B11A.1,cutl-23
yeiN,yeiN
RALGDS,RALGDS
RGDS,RALGDS
RGF,RALGDS
RalGEF,RALGDS
ZNF85,ZNF85
HPF4,ZNF85
HTF1,ZNF85
AT4G30100,AT4G30100
F6G3.130,AT4G30100
F6G3_130,AT4G30100
GALM,GALM
GLAT,GALM
HEL-S-63p,GALM
PF14_0708,PF14_0708
CG9401,mago
Dm MGN,mago
DmMago,mago
DmelCG9401,mago
MGN,mago
"l(2)57Ca",mago
GPR113,GPR113
PGR23,GPR113
hGPCR37,GPR113
Klhl36,Klhl36
ANP32B,ANP32B
PHAPI2,ANP32B
SSP29,ANP32B
lrs1,lrs1
IRX9-L,IRX9-L
I9H,IRX9-L
IRREGULAR XYLEM 9 Homolog,IRX9-L
IRREGULAR XYLEM 9-LIKE,IRX9-L
T22C5.4,IRX9-L
AT4G10320,AT4G10320
F24G24.120,AT4G10320
F24G24_120,AT4G10320
nhr-113,nhr-113
CELE_ZK1025.9,nhr-113
LOC441155,LOC441155
yrdC,yrdC
Psmc4,Psmc4
CIP21,Psmc4
cdr2,cdr2
AT5G11650,AT5G11650
T22P22.40,AT5G11650
T22P22_40,AT5G11650
LAMP5,LAMP5
BAD-LAMP,LAMP5
BADLAMP,LAMP5
C20orf103,LAMP5
LAMP-5,LAMP5
UNC-43,LAMP5
ugt-29,ugt-29
NDUFA9,NDUFA9
CC6,NDUFA9
CI-39k,NDUFA9
CI39k,NDUFA9
NDUFS2L,NDUFA9
SDR22E1,NDUFA9
ygcI,ygcI
CG30403,CG30403
"BcDNA:RE26725",CG30403
DmelCG30403,CG30403
AT3G19300,AT3G19300
gana-1,gana-1
CELE_R07B7.11,gana-1
Nmd3,Nmd3
CG3460,Nmd3
DmelCG3460,Nmd3
"EG:152A3.1",Nmd3
TcD12,Nmd3
TcD13,Nmd3
anon-2Eb,Nmd3
dNmd3,Nmd3
SFRSK1,SRPK1
LGALS9B,LGALS9B
est1,est1
ROC3,ROC3
T24I21.1,ROC3
T24I21_1,ROC3
rotamase CYP 3,ROC3
AT4G38490,AT4G38490
F20M13.50,AT4G38490
F20M13_50,AT4G38490
CG7024,CG7024
DmelCG7024,CG7024
AT2G46150,AT2G46150
T3F17.20,AT2G46150
RpS12,RpS12
"BcDNA:RH29995",RpS12
CG11271,RpS12
DmelCG11271,RpS12
RS12,RpS12
RpS12E,RpS12
"l(3)s2783",RpS12
KLHDC1,KLHDC1
MST025,KLHDC1
K02C4.5,K02C4.5
Patz1,Patz1
8430401L15Rik,Patz1
AI447519,Patz1
Mazr,Patz1
Patz,Patz1
Zfp278,Patz1
TMVgp1,TMVgp1
XPT1,XPT1
xanthine phosphoribosyltransferase,XPT1
BEND2,BEND2
CXorf20,BEND2
AT3G12130,AT3G12130
rhp42,rhp42
rhp4b,rhp42
Dmrtc2,Dmrtc2
4933432E21Rik,Dmrtc2
Dmrt7,Dmrtc2
Folr2,Folr2
FR-beta,Folr2
Folbp-2,Folr2
Folbp2,Folr2
Cpr66D,Cpr66D
CG32029,Cpr66D
CG6458,Cpr66D
CG6469,Cpr66D
DmelCG32029,Cpr66D
DmelCpr66D,Cpr66D
CG10435,CG10435
DmelCG10435,CG10435
ARA-2,ARA-2
ARABIDOPSIS THALIANA RAB GTPASE HOMOLOG A1A,ARA-2
ATRAB11E,ARA-2
ATRABA1A,ARA-2
SMALL GTP-BINDING PROTEIN,ARA-2
T2D23.10,ARA-2
